,year,round,draft_pick,draft_team,player,player_url,position,age,college,college_stats_url,pic_url,bday,hs,height,weight,height_decimal,birthplace_town,birthplace_state,home_state,conference,bmi,Career_year,Career_school,Career_conference,Career_class,Career_position,Career_games,Career_completions,Career_attempts,Career_comp_pct,Career_passing_yds,Career_yds_per_att,Career_adj_yds_per_att,Career_passing_td,Career_interceptions,Career_pass_eff_rate,Best_year,Best_school,Best_conference,Best_class,Best_position,Best_games,Best_completions,Best_attempts,Best_comp_pct,Best_passing_yds,Best_yds_per_att,Best_adj_yds_per_att,Best_passing_td,Best_interceptions,Best_pass_eff_rate,Career_rush_attempts,Career_rush_yds,Career_rush_avg,Career_rush_td,Career_receptions,Career_rec_yds,Career_rec_avg,Career_rec_td,Career_r_total_plays,Career_r+total_yds,Career_r_total_avg,Career_r_total_td
20,2020,1,6,LAC,Justin Herbert,https://www.pro-football-reference.com/players/H/HerbJu00.htm,QB,22,Oregon,http://www.sports-reference.com/cfb/players/justin-herbert-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/HerbJu00_2022.jpg,3/10/1998,"Sheldon,OR",6'6,237,6.5,Eugene,"OR, ",OR,PAC12,27.4,Career,Oregon,Pac-12,SR,QB,43,827,1293,64,10541,8.2,8.8,95,23,153.1,2019,Oregon,Pac-12,SR,QB,14,286,428,66.8,3471,8.1,9,32,6,156.8,231,560,2.4,13,0,0,,0,231,560,2.4,13
21,2020,1,26,GNB,Jordan Love,https://www.pro-football-reference.com/players/L/LoveJo03.htm,QB,21,Utah St.,http://www.sports-reference.com/cfb/players/jordan-love-2.html,https://www.pro-football-reference.com/req/20180910/images/headshots/LoveJo03_2022.jpg,11/2/1998,"Liberty,CA",6'4,219,6.33,Bakersfield,"CA, ",CA,MW,26.7,Career,Utah State,MWC,JR,QB,38,689,1125,61.2,8600,7.6,7.6,60,29,137.9,2019,Utah State,MWC,JR,QB,13,293,473,61.9,3402,7.2,6.4,20,17,129.1,170,403,2.4,9,0,0,,0,170,403,2.4,9
22,2020,2,53,PHI,Jalen Hurts,https://www.pro-football-reference.com/players/H/HurtJa00.htm,QB,22,Oklahoma,http://www.sports-reference.com/cfb/players/jalen-hurts-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/HurtJa00_2022.jpg,8/7/1998,"Channelview,TX",6'1,223,6.08,Houston,"TX, ",TX,BIG12,29.5,Career,Overall,Big 12,SR,QB,56,682,1047,65.1,9477,9.1,9.7,80,20,162.6,2019,Oklahoma,Big 12,SR,QB,14,237,340,69.7,3851,11.3,12.2,32,8,191.2,614,3274,5.3,43,5,40,8,1,619,3314,5.4,44
23,2020,4,122,IND,Jacob Eason,https://www.pro-football-reference.com/players/E/EasoJa00.htm,QB,22,Washington,http://www.sports-reference.com/cfb/players/jacob-eason-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/EasoJa00_2022.jpg,11/17/1997,"Lake Stevens,WA",6'6,231,6.5,,,WA,PAC12,26.7,Career,Overall,Pac-12,JR,QB,29,468,782,59.8,5590,7.1,7.2,39,16,132.3,2019,Washington,Pac-12,JR,QB,13,260,405,64.2,3132,7.7,8,23,8,143.9,82,-126,-1.5,2,0,5,,0,82,-121,-1.5,2
24,2020,4,125,NYJ,James Morgan,https://www.pro-football-reference.com/players/M/MorgJa00.htm,QB,23,Florida International,http://www.sports-reference.com/cfb/players/james-morgan-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/MorgJa00_2021.jpg,2/28/1997,,6'4,229,6.33,Green Bay,"WI, ",WI,CUSA,27.9,Career,Overall,CUSA,SR,QB,42,699,1221,57.2,8654,7.1,6.9,65,34,128.8,2019,Florida International,CUSA,SR,QB,12,207,357,58,2585,7.2,7.4,14,5,128.9,130,-168,-1.3,3,0,0,,0,130,-168,-1.3,3
25,2020,5,167,BUF,Jake Fromm,https://www.pro-football-reference.com/players/F/FromJa00.htm,QB,22,Georgia,http://www.sports-reference.com/cfb/players/jake-fromm-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/FromJa00_2021.jpg,7/30/1998,"Houston County,GA",6'2,219,6.17,,,GA,SEC,28.1,Career,Georgia,SEC,JR,QB,43,621,982,63.2,8224,8.4,9.1,78,18,156.1,2019,Georgia,SEC,JR,QB,14,234,385,60.8,2860,7.4,8.1,24,5,141.2,134,40,0.3,3,0,0,,0,134,40,0.3,3
26,2020,6,189,JAX,Jake Luton,https://www.pro-football-reference.com/players/L/LutoJa00.htm,QB,24,Oregon St.,http://www.sports-reference.com/cfb/players/jake-luton-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/LutoJa00_2022.jpg,4/11/1996,,6'6,224,6.5,Marysville,"WA, ",WA,PAC12,25.9,Career,Overall,Pac-12,SR,QB,29,496,797,62.2,5630,7.1,7.3,43,15,135.6,2019,Oregon State,Pac-12,SR,QB,11,222,358,62,2714,7.6,8.8,28,3,149.8,116,-131,-1.1,6,0,0,,0,116,-131,-1.1,6
27,2020,7,224,TEN,Cole McDonald,https://www.pro-football-reference.com/players/M/McDoCo00.htm,QB,22,Hawaii,http://www.sports-reference.com/cfb/players/cole-mcdonald-1.html,,5/20/1998,,6'3,215,6.25,,,,MW,26.9,Career,Hawaii,MWC,JR,QB,33,616,1004,61.4,8032,8,8.3,70,24,146.8,2019,Hawaii,MWC,JR,QB,14,326,511,63.8,4135,8.1,8.2,33,14,147.6,251,880,3.5,12,0,0,,0,251,880,3.5,12
28,2020,7,231,DAL,Ben DiNucci,https://www.pro-football-reference.com/players/D/DiNuBe00.htm,QB,23,James Madison,http://www.sports-reference.com/cfb/players/ben-dinucci-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/DiNuBe00_2022.jpg,11/24/1996,,6'3,210,6.25,Atlanta,"GA, ",GA,below_FCS,26.2,Career,Pitt,ACC,SO,QB,11,91,167,54.5,1107,6.6,5.5,6,7,113.6,2017,Pitt,ACC,SO,QB,10,88,158,55.7,1091,6.9,6.1,5,5,117.8,57,144,2.5,1,0,0,,0,57,144,2.5,1
29,2020,7,240,NOR,Tommy Stevens,https://www.pro-football-reference.com/players/S/StevTo01.htm,QB,23,Mississippi St.,http://www.sports-reference.com/cfb/players/tommy-stevens-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/StevTo01_2020.jpg,12/15/1996,,6'5,235,6.42,Indianapolis,"IN, ",IN,SEC,27.8,Career,Overall,SEC,SR,QB,29,121,202,59.9,1459,7.2,7.4,15,6,139.1,2019,Mississippi State,SEC,SR,QB,9,97,161,60.2,1155,7.2,7.1,11,5,136.8,159,887,5.6,12,14,62,4.4,2,173,949,5.5,14
